"tablename","1","2","3","p","test","SMD","Missing"
"SOFAtot (median [IQR])","7.00 [5.00, 8.00]","9.00 [7.00, 11.00]","10.00 [8.00, 13.00]","<0.001","nonnorm","0.685","2.0"
"MEWS_score (median [IQR])","9.00 [7.00, 11.00]","11.00 [9.00, 12.00]","11.00 [9.00, 13.00]","<0.001","nonnorm","0.436","0.0"
"APACHE_IV_Score.x (median [IQR])","65.00 [56.00, 87.00]","85.50 [73.00, 107.75]","100.50 [70.50, 123.75]","<0.001","nonnorm","0.717","0.0"
"Shock_on_admis = 1 (%)","27 (40.3)","44 (66.7)","36 (54.5)","0.009","","0.362","0.0"
"length_of_stay (median [IQR])","15.56 [7.92, 26.75]","16.78 [9.48, 42.42]","16.16 [3.89, 43.83]","0.565","nonnorm","0.044","0.5"
"Death_in_hospital.x = 1 (%)","16 (23.9)","29 (44.6)","33 (50.0)","0.005","","0.373","0.5"
"death_in_ICU_correct = 1 (%)","7 (10.4)","16 (24.2)","26 (39.4)","0.001","","0.470","0.0"
"mort30 = 1 (%)","11 (16.4)","22 (33.3)","31 (47.0)","0.001","","0.458","0.0"
"mort90 = 1 (%)","18 (26.9)","32 (48.5)","35 (53.0)","0.005","","0.368","0.0"
"Gram_group (%)","","","","0.916","","0.118","0.0"
"   Both","6 (9.0)","4 (6.1)","6 (9.1)","","","",""
"   Gram_negative","26 (38.8)","30 (45.5)","28 (42.4)","","","",""
"   Gram_positive","35 (52.2)","32 (48.5)","32 (48.5)","","","",""
"Syndecan_group (%)","","","","<0.001","","NaN","0.0"
"   1","67 (100.0)","0 (0.0)","0 (0.0)","","","",""
"   2","0 (0.0)","66 (100.0)","0 (0.0)","","","",""
"   3","0 (0.0)","0 (0.0)","66 (100.0)","","","",""
"respiratory = 1 (%)","27 (40.3)","19 (28.8)","15 (22.7)","0.082","","0.256","0.0"
"abdominal = 1 (%)","19 (28.4)","27 (40.9)","28 (42.4)","0.182","","0.198","0.0"
"cardiovascular = 1 (%)","8 (11.9)","10 (15.2)","12 (18.2)","0.603","","0.117","0.0"
"urinary = 1 (%)","14 (20.9)","14 (21.2)","12 (18.2)","0.892","","0.051","0.0"
"CNS_source = 1 (%)","6 (9.0)","3 (4.5)","1 (1.5)","0.142","","0.231","0.0"
"skin = 1 (%)","10 (14.9)","12 (18.2)","7 (10.6)","0.465","","0.145","0.0"
"other_source = 1 (%)","6 (9.0)","6 (9.1)","6 (9.1)","1.000","","0.003","0.0"
"unknown_source = 1 (%)","6 (9.0)","9 (13.6)","10 (15.2)","0.531","","0.128","0.0"
