"tablename","1","2","3","p","test","SMD","Missing"
"E.coli = 1 (%)","7 (16.7)","12 (29.3)","11 (26.2)","0.373","","0.202","0.0"
"Streptococcus = 1 (%)","14 (33.3)","8 (19.5)","9 (21.4)","0.285","","0.211","0.0"
"SOFAtot (median [IQR])","6.00 [4.00, 8.00]","9.00 [7.00, 10.00]","10.00 [7.00, 13.00]","<0.001","nonnorm","0.830","1.6"
"MEWS_score (median [IQR])","9.00 [7.00, 11.00]","11.00 [9.00, 11.00]","11.00 [9.00, 12.75]","0.025","nonnorm","0.338","0.0"
"APACHE_IV_Score.x (median [IQR])","63.00 [56.50, 93.50]","84.00 [73.00, 108.00]","97.00 [84.25, 118.75]","<0.001","nonnorm","0.636","0.0"
"Shock_on_admis = 1 (%)","14 (33.3)","28 (68.3)","20 (47.6)","0.006","","0.490","0.0"
"length_of_stay (median [IQR])","14.30 [8.36, 26.30]","19.57 [6.35, 46.83]","17.25 [7.11, 40.56]","0.694","nonnorm","0.061","0.0"
"Death_in_hospital.x = 1 (%)","10 (23.8)","19 (46.3)","19 (45.2)","0.058","","0.324","0.0"
"death_in_ICU_correct = 1 (%)","6 (14.3)","10 (24.4)","13 (31.0)","0.190","","0.271","0.0"
"mort30 = 1 (%)","9 (21.4)","14 (34.1)","16 (38.1)","0.227","","0.247","0.0"
"mort90 = 1 (%)","10 (23.8)","21 (51.2)","21 (50.0)","0.016","","0.393","0.0"
"Syndecan_group_bacteria (%)","","","","<0.001","","NaN","0.0"
"   1","42 (100.0)","0 (0.0)","0 (0.0)","","","",""
"   2","0 (0.0)","41 (100.0)","0 (0.0)","","","",""
"   3","0 (0.0)","0 (0.0)","42 (100.0)","","","",""
"Gram_group = Gram_positive (%)","28 (66.7)","25 (61.0)","24 (57.1)","0.665","","0.131","0.0"
